workflow_id,workflow_name,source_repo,normalized_domain,workflow_family,fit,quality_tier,codex_usefulness,source_url_status,confidence,real_life_job,input_contract,output_artifact,validation_gate,human_review_boundary,safety_boundary,what_to_copy,what_to_ignore,canonical_source_url,tags
surface-0007,Medical skills,CaseMark/skills,healthcare,healthcare_admin,skill_package_reference,needs_verification,verify_source_first,broken,low,"Reusable reference for patient, referral, administrative, and medical-document packet preparation workflows.","patient/referral/source documents, forms, notes","clean packet, summary, checklist, review-ready draft","Require document provenance, completeness checks, PHI handling review, and human clinician or administrative review before action.",required before final action or conclusion,"must not make legal, medical, engineering, compliance, or safety conclusions without human review","Only copy packet assembly, checklist, summarization, and review-handoff structure after source verification.","Do not copy diagnostic, treatment, eligibility, coverage, or medical decision language as autonomous conclusions.",https://github.com/CaseMark/skills/tree/main/med,healthcare;medical_documents;referral_packet;healthcare_admin;sparse_source
surface-0016,Medical document workflows,FreedomIntelligence/OpenClaw-Medical-Skills,healthcare,healthcare_admin,skill_package_reference,needs_verification,verify_source_first,broken,low,"Reusable reference for medical document workflow skills, including document cleanup, summarization, checklist creation, and review-ready handoff.","patient/referral/source documents, forms, notes","clean packet, summary, checklist, review-ready draft","Require source-document traceability, PHI boundary checks, completeness validation, and human review before final use.",required before final action or conclusion,"must not make legal, medical, engineering, compliance, or safety conclusions without human review","Only copy document-workflow structure, packet assembly patterns, and human-review gates after source verification.","Do not copy autonomous medical advice, diagnosis, treatment planning, or compliance conclusions.",https://github.com/FreedomIntelligence/OpenClaw-Medical-Skills/tree/main/skills,healthcare;medical_documents;workflow_skills;healthcare_admin;sparse_source
surface-0017,Plugin manifest,FreedomIntelligence/OpenClaw-Medical-Skills,healthcare,healthcare_admin,skill_package_reference,needs_verification,verify_source_first,broken,low,Reusable reference for a healthcare skills package manifest that may identify available medical document workflow surfaces.,"patient/referral/source documents, forms, notes","clean packet, summary, checklist, review-ready draft","Require manifest reachability, referenced skill path checks, source-document traceability, and human review before operational reuse.",required before final action or conclusion,"must not make legal, medical, engineering, compliance, or safety conclusions without human review","Only copy manifest metadata, skill indexing structure, and review-boundary conventions after source verification.",Do not infer workflow capabilities from the manifest unless referenced files are verified.,https://github.com/FreedomIntelligence/OpenClaw-Medical-Skills/blob/main/openclaw.plugin.json,healthcare;manifest;medical_documents;healthcare_admin;sparse_source
surface-0018,README Skills Overview,FreedomIntelligence/OpenClaw-Medical-Skills,healthcare,healthcare_admin,skill_package_reference,needs_verification,verify_source_first,broken,low,Reusable reference for README-level overview of healthcare and medical document skills.,"patient/referral/source documents, forms, notes","clean packet, summary, checklist, review-ready draft","Require README reachability, linked skill verification, PHI and provenance checks, and human review before relying on any workflow.",required before final action or conclusion,"must not make legal, medical, engineering, compliance, or safety conclusions without human review","Only copy high-level package taxonomy, workflow names, and review-gate framing after source verification.","Do not treat README summaries as evidence of safe clinical, legal, or compliance decisions.",https://github.com/FreedomIntelligence/OpenClaw-Medical-Skills/blob/main/README.md,healthcare;readme_overview;medical_documents;healthcare_admin;sparse_source
surface-0021,README Available Skills,K-Dense-AI/scientific-agent-skills,healthcare,healthcare_admin,skill_package_reference,gold,copy_or_adapt_now,exact_page_reachable,high,"Support biomedical or clinical research work such as clinical trial lookup, variant interpretation, drug safety review, clinical documentation, and treatment-plan drafting with human oversight.","Research or clinical source data such as VCF files, clinical databases, trial records, FDA/ClinVar/COSMIC/ClinicalTrials.gov references, EHR-like signals, imaging data, and documentation inputs.","Clinical or research report, database-backed summary, documented analysis, treatment-plan draft, or review-ready clinical research artifact.","Check source provenance, database identity, workflow fit, source freshness, and require human review for clinical interpretation or treatment implications.","Required before final medical, clinical, treatment, safety, or patient-specific conclusions.","Do not make independent diagnosis, treatment, legal, compliance, engineering, or safety conclusions; treat outputs as research or review drafts only.","Skill-pack structure, domain category taxonomy, database-backed workflow prompts, source provenance expectations, and clinical documentation/treatment-plan draft boundaries.",Do not copy claims that the package itself is a healthcare administration/referral workflow; it is broader scientific and clinical research infrastructure.,https://github.com/K-Dense-AI/scientific-agent-skills/blob/main/README.md,healthcare;clinical-research;biomedical;skill-pack;database-lookup;human-review
surface-0063,Industry Use Cases,ashishpatel26/500-AI-Agents-Projects,healthcare,healthcare_admin,codex_config_candidate,silver,strong_reference,exact_page_reachable,medium,"Browse healthcare-related agent examples such as medical report insight, patient-data health assistant concepts, health insurance claiming, and medical chatbot patterns.","Use-case catalog entries and linked example projects; possible inputs include medical reports, patient data, insurance claim details, or chatbot prompts depending on the referenced project.","Use-case shortlist, implementation reference link, or caveated workflow inspiration note rather than a directly reusable healthcare packet.",Verify each linked project separately before copying behavior; catalog table alone is too shallow for safety or implementation detail.,"Required before any medical, insurance, claims, patient, or regulated workflow action.","Do not infer clinical accuracy, claims eligibility, diagnosis, or compliance readiness from catalog entries alone.","Industry-use-case taxonomy and the idea of separating healthcare, health insurance, and document/claims examples.","Do not copy framework-specific runtime recommendations, shallow health claims, or any project behavior without reading the linked project.",https://github.com/ashishpatel26/500-AI-Agents-Projects/blob/main/README.md,healthcare;inspiration-catalog;industry-use-cases;claims;medical-reports
surface-0083,Healthcare industry pack,indranilbanerjee/contentforge,healthcare,healthcare_admin,skill_package_reference,needs_verification,use_with_caution,canonicalized,low,"Produce publication-ready long-form content with research, fact-checking, humanization, review, and Word document output; healthcare-specific behavior was not verified at the requested folder link.","Topic, brand voice, sources, internal link targets, and content-production requirements; no verified healthcare patient/referral input contract found from the fallback.","Publication-ready .docx with citations, SEO/quality appendices, internal-link map, and provenance sidecar or signing support.","Three-layer fact verification, review scoring, URL verification, and quality gates after phases; healthcare-specific validation not verified.",Required before publishing regulated or healthcare-adjacent content and before any medical or compliance conclusion.,"Do not treat the fallback as evidence of medical admin, referral processing, or patient document review capabilities.","Quality gates, fact-checking phases, review scoring, Word output artifact pattern, and provenance thinking for regulated content workflows.",Do not copy the healthcare pack label or patient/referral assumptions unless the actual folder files are verified.,https://github.com/indranilbanerjee/contentforge,content-production;regulated-content;fact-checking;sparse-healthcare-evidence;skill-pack
surface-0085,Pharma industry pack,indranilbanerjee/contentforge,healthcare,healthcare_admin,skill_package_reference,needs_verification,use_with_caution,canonicalized,low,"Produce researched, fact-checked, reviewed content with publication-ready Word output; pharma-specific workflow behavior was not verified at the requested folder link.","Topic brief, brand profile, source URLs, internal pages, and content requirements; no verified pharma clinical, regulatory, or patient input contract found from fallback.","Publication-ready .docx with verified citations, quality scorecards, internal links, and provenance metadata.","Fact-checking, source URL verification, scientific validation phase, reviewer scoring, and release/tests noted in README; pharma-specific validation not verified.","Required before publication or any pharma, medical, regulatory, treatment, safety, or compliance conclusion.","Do not infer pharma R&D, clinical trial, regulatory submission, or patient-safety workflow capability from the fallback README alone.","Phase gates, source verification, review scoring, document-output pattern, and provenance support for regulated content.","Do not copy pharma-specific labels, clinical behavior, or compliance claims unless the actual pharma folder is verified.",https://github.com/indranilbanerjee/contentforge,content-production;pharma-sparse;regulated-content;fact-checking;skill-pack
surface-0113,USE-CASES,mergisi/awesome-openclaw-agents,healthcare,healthcare_admin,skill_package_reference,silver,strong_reference,exact_page_reachable,medium,"Browse health-adjacent examples such as wearable dashboarding, lab result organization, and medical reimbursement filing.","Wearable metrics, bloodwork lab results, reimbursement claim details, and user-provided account or document context depending on the example.","Dashboard, structured lab-result database, reimbursement filing draft/action, or catalog-derived workflow idea.","Treat examples as shallow; verify source workflow details, credentials, privacy handling, and action boundaries before reuse.","Required before reimbursement submission, medical interpretation, patient action, or any health-related conclusion.","Do not make medical conclusions, reimbursement eligibility decisions, or third-party submissions without explicit human approval.","Health-adjacent workflow categories, lab-result organization idea, reimbursement admin pattern, and human-in-the-loop action boundary.","Do not copy autonomous filing behavior, credential usage, platform-specific execution assumptions, or medical interpretation claims.",https://github.com/mergisi/awesome-openclaw-agents/blob/main/USE-CASES.md,health;reimbursement;lab-results;inspiration-catalog;human-review
surface-0082,Education industry pack,indranilbanerjee/contentforge,education,education_support,codex_config_candidate,needs_verification,use_with_caution,canonicalized,low,"Calibrate content production and validation with education-domain terminology, evidence standards, regulatory context, and common pitfalls.","Content topic, brand or audience context, education industry assumptions, source material, and publication requirements.",Publication-ready content or a content-production packet informed by the education industry configuration.,"Verify the actual education config path before reuse; validate citations, factual accuracy, domain terminology, and output quality gates.","Optional for internal drafts; recommended before publishing or using content where it affects students, educators, institutions, or external readers.","Keep as reference pattern until copied into an ECC contract; do not infer student assessment, curriculum, or admin workflows from the sparse source.",Copy the idea of domain-specific configuration that informs drafting and validation.,"Do not copy unsupported education workflow behavior such as lesson planning, assessment decisions, or student support interventions.",https://github.com/indranilbanerjee/contentforge,education;industry-pack;content-production;domain-calibration;sparse-exact-path;category-mismatch
