id,repo,cluster,door,door_level,primary_category,primary_domain,primary_pattern,domain_tags,workflow_pattern_tags,fit,priority,expansion_status,browse_use,input_contract_hint,output_artifact_hint,human_review_boundary,safety_boundary,source_url,needs_second_pass,confidence
surface-0031,agentskillexchange/skills,Best Matches For Codex Config Packages,"Infrastructure, SRE & Incident Operations",industry_lane,Automation / Queue Template,general,Monitoring,general,Monitoring,skill/package reference,3,expand_on_query,"batch processing, triggers, app automation, queue and notification examples","repo docs, source links, category indexes, user-provided context",matched router surface and expansion plan,optional unless output affects a person or external system,keep as reference pattern until copied into an ECC contract,https://github.com/agentskillexchange/skills/blob/main/industries/infrastructure-sre-incident-operations.md,True,high
surface-0041,agentskillexchange/skills,Best Matches For Codex Config Packages,Templates & Workflows,category_surface,Automation / Queue Template,general,QueueProcessing,general,QueueProcessing;AutomationTemplate,skill/package reference,2,expand_on_query,"batch processing, triggers, app automation, queue and notification examples","event trigger, app credentials, records, message/document source","automation run, notification, transformed record, queued task",optional unless output affects a person or external system,keep as reference pattern until copied into an ECC contract,https://github.com/agentskillexchange/skills/tree/main/categories/templates-workflows,True,high
surface-0108,mergisi/awesome-openclaw-agents,Big Multi-Industry Agent Catalogs,Configs,category_surface,Automation / Queue Template,general,QueueProcessing,general,QueueProcessing;AutomationTemplate,inspiration catalog,2,expand_on_query,"batch processing, triggers, app automation, queue and notification examples","event trigger, app credentials, records, message/document source","automation run, notification, transformed record, queued task",optional unless output affects a person or external system,keep as reference pattern until copied into an ECC contract,https://github.com/mergisi/awesome-openclaw-agents/tree/main/configs,True,high
surface-0110,mergisi/awesome-openclaw-agents,Big Multi-Industry Agent Catalogs,Memory wiki templates,category_surface,Automation / Queue Template,general,QueueProcessing,general,QueueProcessing;AutomationTemplate,inspiration catalog,2,expand_on_query,"batch processing, triggers, app automation, queue and notification examples","event trigger, app credentials, records, message/document source","automation run, notification, transformed record, queued task",optional unless output affects a person or external system,keep as reference pattern until copied into an ECC contract,https://github.com/mergisi/awesome-openclaw-agents/tree/main/memory-wiki,True,high
surface-0112,mergisi/awesome-openclaw-agents,Big Multi-Industry Agent Catalogs,README Catalog,category_surface,Automation / Queue Template,general,QueueProcessing,general,QueueProcessing;AutomationTemplate;ConfigPackage;SkillRegistry,inspiration catalog,2,expand_on_query,"batch processing, triggers, app automation, queue and notification examples","event trigger, app credentials, records, message/document source","automation run, notification, transformed record, queued task",optional unless output affects a person or external system,keep as reference pattern until copied into an ECC contract,https://github.com/mergisi/awesome-openclaw-agents/blob/main/README.md,True,high
surface-0115,mergisi/awesome-openclaw-agents,Big Multi-Industry Agent Catalogs,agents.json,category_surface,Automation / Queue Template,agent_workflows,QueueProcessing,agent_workflows,QueueProcessing;AutomationTemplate,inspiration catalog,2,expand_on_query,"batch processing, triggers, app automation, queue and notification examples","event trigger, app credentials, records, message/document source","automation run, notification, transformed record, queued task",optional unless output affects a person or external system,keep as reference pattern until copied into an ECC contract,https://github.com/mergisi/awesome-openclaw-agents/blob/main/agents.json,True,high
surface-0003,CaseMark/skills,Domain-Specific Workflow Packs,Case development skills,category_surface,Case Intake / Legal Review,legal,CaseIntake,legal,CaseIntake;HumanReview,skill/package reference,1,high_value_needs_expansion,"messy intake, legal review, case setup, redline and approval workflows","repo docs, source links, category indexes, user-provided context",matched router surface and expansion plan,required before final action or conclusion,"must not make legal, medical, engineering, compliance, or safety conclusions without human review",https://github.com/CaseMark/skills/tree/main/casedev,True,high
surface-0004,CaseMark/skills,Domain-Specific Workflow Packs,Case setup,workflow_surface,Case Intake / Legal Review,legal,CaseIntake,legal,CaseIntake;HumanReview,skill/package reference,1,ready_to_classify,"messy intake, legal review, case setup, redline and approval workflows","repo docs, source links, category indexes, user-provided context",matched router surface and expansion plan,required before final action or conclusion,"must not make legal, medical, engineering, compliance, or safety conclusions without human review",https://github.com/CaseMark/skills/tree/main/casedev/setup,False,high
surface-0006,CaseMark/skills,Domain-Specific Workflow Packs,Legal skills,category_surface,Case Intake / Legal Review,legal,CaseIntake,legal,CaseIntake;HumanReview,skill/package reference,1,high_value_needs_expansion,"messy intake, legal review, case setup, redline and approval workflows","repo docs, source links, category indexes, user-provided context",matched router surface and expansion plan,required before final action or conclusion,"must not make legal, medical, engineering, compliance, or safety conclusions without human review",https://github.com/CaseMark/skills/tree/main/legal,True,high
surface-0011,CaseMark/skills,Domain-Specific Workflow Packs,Search,workflow_surface,Case Intake / Legal Review,legal,CaseIntake,legal,CaseIntake;HumanReview,skill/package reference,1,ready_to_classify,"messy intake, legal review, case setup, redline and approval workflows","repo docs, source links, category indexes, user-provided context",matched router surface and expansion plan,required before final action or conclusion,"must not make legal, medical, engineering, compliance, or safety conclusions without human review",https://github.com/CaseMark/skills/tree/main/casedev/search,False,high
